序号,group_id,a1,a2,a3,a4,label,time
84,7,-1.61837,3.31919,1.95712,4.12381,1,84
85,7,1.21375,1.54053,2.94048,-5.08613,1,85
86,7,-1.72054,-1.08388,-0.973666,-0.523894,1,86
87,7,-1.07249,0.224866,1.81833,-0.177839,1,87
88,7,0.567456,0.268658,-0.423768,-0.377021,1,88
89,7,-5.99532,-1.09595,0.0801918,-5.01896,1,89
90,7,-7.71627,-5.96689,2.51115,2.48508,1,90
91,7,-0.111132,-4.52569,-5.6252,3.74506,1,91
92,7,0.265677,-1.30243,4.35095,1.06744,1,92
93,7,2.23548,-4.629,2.85273,3.7994,1,93
94,7,2.17361,-0.91617,-2.53619,-0.380896,1,94
95,7,-2.52451,1.8891,1.46721,-1.04403,1,95
96,7,2.39532,1.62309,-2.17336,2.26343,1,96
97,7,-3.75373,0.360171,-7.9429,6.66338,1,97
98,7,2.31811,1.98156,-1.14378,2.29601,1,98
99,7,5.63586,1.10084,-0.82179,-3.84443,1,99
100,7,9.50329,9.11681,-0.560498,3.0168,1,100
101,7,-1.35121,2.36972,-3.40064,3.56392,1,101
102,7,-1.17468,-0.299558,0.627732,2.42228,1,102
103,7,-0.33802,-1.77588,0.0106441,1.00276,1,103
104,7,3.17824,4.29725,1.87708,0.625147,1,104
105,7,4.17515,4.88498,-3.46935,1.0646,1,105
106,7,-3.27462,12.9932,-3.03671,0.605118,1,106
107,7,5.61102,5.59244,-2.99864,-2.68273,1,107
108,7,-0.236259,-3.63413,1.94495,3.01308,1,108
109,7,1.11277,-1.24997,-0.534711,-0.623279,1,109
110,7,-3.78943,1.04647,-3.25718,-2.27542,1,110
111,7,2.53099,-1.81384,2.32778,-0.524402,1,111
112,7,0.922391,-1.58878,0.740431,-3.65501,1,112
113,7,3.09628,-5.98954,1.86658,-1.15986,1,113
114,7,-6.38885,0.325052,5.63118,-2.25047,1,114
115,7,-3.10108,8.62005,-4.75554,-0.669241,1,115
116,7,2.15798,1.28753,4.85806,-3.9411,1,116
117,7,-1.86143,2.31006,-2.65831,-0.839597,1,117
118,7,-0.314021,-0.156933,1.01289,1.89236,1,118
119,7,1.10665,-1.48249,1.46015,1.34006,1,119
120,7,-1.49602,2.08066,1.55989,2.23308,1,120
121,7,-6.36239,9.6617,-0.0666338,-0.751814,1,121
122,7,-2.78846,-1.63095,-2.47373,-1.65982,1,122
123,7,9.47694,-3.1596,-4.90938,-0.90473,1,123
124,7,-6.29781,3.73907,3.46178,3.08417,1,124
125,7,0.195078,5.15397,0.754212,-1.38683,1,125
126,7,-1.15843,3.17668,-1.75511,0.749437,1,126
127,7,0.691429,-1.4749,0.0224798,-0.0800192,1,127
128,7,-5.54297,-12.6684,-1.35172,-9.54636,1,128
129,7,-3.62758,1.91227,-7.75477,2.58679,1,129
130,7,2.93044,-1.57686,-6.92109,0.0533047,1,130
131,7,4.0416,-3.87451,6.81911,-1.11514,1,131
132,7,3.17332,-0.569369,2.35438,-0.145589,1,132
133,7,-0.612421,-1.20673,-0.0305033,-1.31375,1,133
134,7,-5.8145,0.427136,-1.03691,1.2539,1,134
135,7,0.708652,0.2841,2.64864,-0.812755,1,135
136,7,2.69067,0.453167,-0.514188,-3.94178,1,136
137,7,2.63083,-7.42859,2.96194,-1.74007,1,137
138,7,-2.80572,-0.220255,-1.33766,1.8996,1,138
139,7,0.95126,0.825872,0.914364,-3.28657,1,139
140,7,-1.05424,0.315417,-1.14328,0.0265122,1,140
141,7,-0.0883968,0.0860166,1.04114,2.30662,1,141
142,7,-1.10987,0.616266,-0.3841,0.46798,1,142
143,7,2.86516,0.248575,-0.155919,0.421284,1,143
144,7,0.360733,-3.35173,-0.147919,1.00832,1,144
145,7,0.273076,0.442587,0.767018,10.0269,1,145
146,7,2.01994,-10.0374,-2.82169,7.15035,1,146
147,7,-0.686524,4.16044,-4.29025,3.5346,1,147
148,7,0.459239,0.887285,2.05361,-2.44975,1,148
149,7,-2.9022,-1.41349,-1.27421,4.53658,1,149
150,7,-4.23888,-1.91663,-0.175794,1.60977,1,150
151,7,0.907418,-2.97848,0.618567,1.85148,1,151
152,7,-2.54901,9.35853,4.88312,8.77973,1,152
153,7,-2.57343,-0.0235375,-7.67437,1.18171,1,153
154,7,1.10837,3.20921,-0.0066622,1.57605,1,154
155,7,-1.70543,5.88012,4.91113,-3.65451,1,155
156,7,1.08232,-0.807864,0.576346,0.487019,1,156
157,7,1.2024,-1.49254,-3.49907,2.33446,1,157
158,7,4.79356,-2.96967,-1.89945,2.03871,1,158
159,7,1.47717,0.839014,1.02402,0.522909,1,159
160,7,0.561806,1.15857,3.39951,-5.65385,1,160
161,7,-8.19005,8.80998,6.82749,7.39149,1,161
162,7,4.07508,12.782,-6.92182,1.09121,1,162
163,7,5.39263,3.1768,-1.80454,-1.00831,1,163
164,7,0.58229,2.65414,-0.90823,0.664157,1,164
165,7,-1.66935,1.37048,1.95219,0.929066,1,165
166,7,-1.14477,2.29621,0.769198,0.634035,1,166
167,7,-0.52345,1.02597,-0.209891,-1.05371,1,167
168,7,0.651622,-1.79746,-0.062415,0.569323,1,168
169,7,3.13976,2.44576,-4.53819,-0.0929461,1,169
170,7,4.42502,6.37782,-7.34591,-0.877004,1,170
171,7,1.67119,3.45202,1.81009,-3.4533,1,171
172,7,-0.686962,-4.43569,-4.25662,1.35641,1,172
173,7,5.12544,-1.79462,1.55928,-1.8895,1,173
174,7,-3.70918,3.08257,-2.99831,2.28387,1,174
175,7,2.06618,0.398375,-0.246874,-0.136183,1,175
176,7,6.23335,-6.28662,2.65286,-2.25314,1,176
177,7,-6.11578,0.394985,-0.134579,6.01853,1,177
178,7,-4.19821,1.89259,0.463744,-1.68873,1,178
179,7,3.90748,3.86947,-3.80854,3.01965,1,179
180,7,4.60357,-0.283047,-0.689726,0.505476,1,180
181,7,0.256342,-2.83397,-1.79243,2.24539,1,181
182,7,1.21173,-0.898848,-2.45283,0.713021,1,182
183,7,1.53345,0.171142,-0.0431203,1.07075,1,183
184,7,0.503565,-5.29175,3.35672,-5.53509,1,184
185,7,-1.003,-4.16481,-5.72037,2.54677,1,185
186,7,-0.256707,-2.47943,-4.85055,4.22168,1,186
187,7,7.54681,-2.84617,-1.65282,-1.77622,1,187
188,7,3.28099,-0.0710039,-0.176946,-2.30214,1,188
189,7,-0.638949,2.41999,1.37425,1.76544,1,189
190,7,-2.27971,-0.693041,-0.825489,1.27786,1,190
191,7,1.2892,-3.69273,-0.607379,0.374462,1,191
192,7,2.49928,-0.17391,1.22857,1.06642,1,192
193,7,-4.44057,-1.81943,-0.256968,-1.81413,1,193
194,7,-3.01732,-0.473134,0.927124,3.06851,1,194
195,7,2.17172,-1.55099,-0.929102,1.6229,1,195
196,7,1.72964,-2.3307,1.47592,1.14295,1,196
197,7,0.602331,2.30068,0.654791,-0.664705,1,197
198,7,-1.33464,-0.895599,-0.931451,-0.243418,1,198
199,7,0.990265,1.17917,-0.627117,0.189975,1,199
200,7,-1.36531,-4.68964,-2.24826,-3.65609,1,200
201,7,-3.3301,-5.73998,3.41753,0.916525,1,201
202,7,3.18803,-3.72432,1.65346,1.81084,1,202
203,7,-4.20041,2.24793,-4.30701,1.56193,1,203
204,7,0.207465,-1.24865,-2.43258,5.44662,1,204
205,7,-1.14591,2.47571,-2.16825,-1.50209,1,205
206,7,1.56205,-4.66294,0.115916,2.49415,1,206
207,7,2.22096,-3.02135,0.179927,-0.732451,1,207
208,7,3.92862,-5.40022,1.67084,-0.819505,1,208
209,7,-4.33652,0.498012,-3.39098,0.558361,1,209
210,7,-5.31308,2.31924,3.08973,-0.422145,1,210
211,7,-1.56465,3.92464,0.250419,-0.411768,1,211
212,7,-0.39053,2.2581,-2.08204,-2.4287,1,212
213,7,-0.458783,-2.45924,0.0491355,0.814474,1,213
214,7,2.95707,-0.125384,1.24288,-3.56977,1,214
215,7,0.195375,0.910711,-1.20339,-1.30767,1,215
216,7,5.19975,-4.15995,3.00668,0.0879208,1,216
217,7,-2.14053,1.85515,-3.43983,2.04187,1,217
218,7,-3.44559,4.2183,1.30372,3.17486,1,218
219,7,7.65098,-7.01172,-1.24326,0.703346,1,219
220,7,1.36651,-2.16192,-2.88427,0.412495,1,220
221,7,0.784668,-0.0102815,-2.9476,0.901377,1,221
222,7,2.50806,2.63229,-0.57417,-1.84254,1,222
223,7,-3.03663,2.55081,1.48927,9.09536,1,223
224,7,-6.10458,3.45281,2.21561,1.37714,1,224
225,7,5.07802,2.13905,-0.597903,-5.21975,1,225
226,7,2.1843,3.00364,-0.548653,0.360604,1,226
227,7,-4.26544,7.13853,1.90907,-2.22823,1,227
228,7,1.71047,4.80413,2.71681,-11.7751,1,228
229,7,0.00335667,2.34174,-1.83153,-1.41708,1,229
230,7,0.390343,1.10363,-1.17568,-3.30905,1,230
231,7,2.01523,0.0843471,0.559833,-2.93215,1,231
232,7,3.68367,-4.47572,-7.79325,-6.7909,1,232
233,7,-3.74996,-0.5141,2.75543,-2.19263,1,233
234,7,5.40421,2.94073,3.43087,-1.61439,1,234
235,7,2.03639,7.87567,-2.59265,1.1082,1,235
236,7,0.888995,3.51531,-1.29157,-0.805538,1,236
237,7,-0.341441,-1.5403,-1.74642,6.83326,1,237
238,7,1.33718,-0.838678,1.08089,-3.15685,1,238
239,7,-0.173595,0.495284,0.810492,-1.26401,1,239
240,7,-7.71279,-8.61482,4.50211,-7.49741,1,240
241,7,6.38469,-0.0138164,-9.27783,-0.00533668,1,241
242,7,1.57544,-1.63616,1.91733,-5.5168,1,242
243,7,3.33629,-3.18257,9.48101,-6.53795,1,243
244,7,-6.18968,2.39895,3.8417,-0.505315,1,244
245,7,-4.34688,1.71861,-2.44381,3.01142,1,245
246,7,2.87684,-2.54386,-0.646905,-2.20386,1,246
247,7,-2.47762,1.25452,1.25443,5.67433,1,247
248,7,-0.450277,-5.09017,5.5252,-0.260003,1,248
249,7,2.07789,-7.44857,3.89591,-7.3305,1,249
250,7,3.25527,-1.06374,-2.48617,0.346779,1,250
251,7,0.279323,-4.00947,1.2965,-0.300211,1,251
252,7,-1.12982,0.78718,-1.74271,1.93781,1,252
253,7,0.207541,0.912048,-0.18572,1.82453,1,253
254,7,-5.00485,4.30288,1.37569,1.2927,1,254
255,7,0.0727986,0.42342,-0.222006,0.341165,1,255
256,7,-1.92062,-4.641,-7.27815,2.27004,1,256
257,7,2.26134,-9.34098,4.5432,5.75117,1,257
258,7,-2.42213,0.489852,4.85333,-4.08429,1,258
259,7,1.17527,-0.0290092,-3.95557,1.20983,1,259
260,7,-1.66349,0.220456,-2.40727,2.73125,1,260
261,7,-0.65437,-0.645217,0.124537,2.11309,1,261
262,7,0.0109152,1.70342,-2.0483,2.29555,1,262
263,7,-0.056931,-0.786898,0.967044,-0.859846,1,263
264,7,2.58169,-1.51821,-0.0120452,6.99789,1,264
265,7,-1.29809,1.65637,-5.61135,4.21333,1,265
266,7,-9.14842,5.39713,2.61591,1.45443,1,266
267,7,8.87389,2.42456,-1.07281,3.00712,1,267
268,7,-2.10219,-4.09001,-2.14516,-0.416501,1,268
269,7,-1.32102,-0.566856,-1.29768,1.81158,1,269
270,7,4.12529,-0.853742,1.54439,-0.653877,1,270
271,7,-0.983974,-2.41466,-1.22429,0.435157,1,271
272,7,3.49392,2.33182,3.088,-3.48686,1,272
273,7,-3.87905,14.2808,-1.49786,7.4617,1,273
274,7,-3.8009,4.73876,-5.28757,0.356321,1,274
275,7,-1.91969,-0.918687,-0.507191,-1.04965,1,275
276,7,0.633035,0.819572,0.359046,2.9133,1,276
277,7,1.98288,6.6149,-3.71858,2.52963,1,277
278,7,0.781613,-0.931162,0.546667,-2.01228,1,278
279,7,0.159067,-1.8851,1.3184,3.18023,1,279
280,7,-5.36798,2.82465,0.687933,2.98306,1,280
281,7,-5.84046,-2.33712,4.99567,-6.01933,1,281
282,7,-1.9121,6.35513,0.081743,4.92346,1,282
283,7,3.42823,7.23842,-2.81538,-2.90083,1,283
284,7,1.41107,-0.47928,1.18347,-2.04989,1,284
285,7,-1.79962,-1.3257,-0.280815,3.47916,1,285
286,7,0.381996,2.13292,0.661437,0.491521,1,286
287,7,0.679563,2.61748,-1.30764,-1.27463,1,287
288,7,7.22713,-9.11689,2.98506,2.25464,1,288
289,7,-9.36718,4.36604,4.25151,-3.03386,1,289
290,7,-6.68826,2.94327,3.42308,-4.09291,1,290
291,7,7.23188,5.90405,-7.25695,-6.42966,1,291
292,7,4.59013,1.99463,-4.11288,3.57875,1,292
293,7,2.58912,-1.9956,6.96225,0.548166,1,293
294,7,1.18663,3.86223,-2.98494,0.217248,1,294
295,7,3.84614,-3.14328,-2.43766,0.0992071,1,295
296,7,3.8555,-2.23843,-2.14299,-2.47406,1,296
297,7,7.09686,0.55884,-1.28572,-0.896575,1,297
298,7,-3.80228,2.38306,-1.34187,1.69932,1,298
299,7,-0.686306,-1.81312,1.40032,0.549753,1,299
300,7,-2.11064,1.7861,1.22856,-0.830275,1,300
301,7,-0.975328,3.31299,-2.24812,5.73852,1,301
302,7,1.66859,-1.97907,2.44301,-2.76217,1,302
303,7,0.99692,-2.59961,-0.987321,-0.845409,1,303
304,7,-5.71565,2.20097,4.88155,-0.498925,1,304
305,7,-1.11699,1.55873,2.67808,2.00372,1,305
306,7,4.87018,1.89578,-4.55602,0.357053,1,306
307,7,5.89355,-1.99398,-0.551103,-0.317036,1,307
308,7,0.463924,-0.165972,0.136755,1.34548,1,308
309,7,-3.19454,0.727764,0.00776278,2.35323,1,309
310,7,0.36419,0.394104,0.432672,0.562291,1,310
311,7,0.681838,-2.14461,0.196349,0.637958,1,311
312,7,0.27219,-1.04887,-1.30091,3.76511,1,312
313,7,4.76433,-4.77038,0.72238,0.88139,1,313
314,7,3.95942,-2.54485,1.64325,-0.641038,1,314
315,7,0.986864,-2.64748,-1.21842,0.16536,1,315
316,7,-1.14564,0.231677,-0.112546,1.7107,1,316
317,7,-3.15018,0.222321,-0.805786,1.4321,1,317
318,7,2.15135,-1.21129,-0.497727,-0.171038,1,318
319,7,-0.174645,-2.67921,-0.816136,0.047172,1,319
320,7,1.54821,-3.07862,7.09424,1.16042,1,320
321,7,-0.237201,-2.24047,-1.06143,4.09314,1,321
322,7,-3.31288,4.87919,-3.32725,4.85053,1,322
323,7,2.59776,5.30192,1.4541,3.03524,1,323
324,7,0.277602,-1.6644,3.7293,0.836848,1,324
325,7,-1.4652,-0.338709,-1.03191,0.0948747,1,325
326,7,4.41424,0.113853,2.96032,-0.0589108,1,326
327,7,-1.17496,-1.4811,-0.0856592,-2.52307,1,327
328,7,-0.0670546,-5.04059,5.41169,2.23071,1,328
329,7,-2.66633,6.86162,-2.17131,11.159,1,329
330,7,-3.94955,9.63638,-2.52628,-3.22585,1,330
331,7,7.18298,2.15093,0.997582,-0.808238,1,331
332,7,2.45324,0.245769,-1.10904,3.48592,1,332
333,7,-0.363407,-0.33207,0.0325629,1.72208,1,333
334,7,-1.00142,-0.802394,4.58766,-0.690345,1,334
335,7,-1.96699,2.90027,-4.0957,-5.02097,1,335
336,7,-6.52386,8.4826,3.80654,-1.06018,1,336
337,7,5.3574,3.31582,-2.67128,-0.754629,1,337
338,7,5.07232,-1.89381,-8.43227,0.362941,1,338
339,7,-8.08864,6.95788,2.74991,-2.97594,1,339
340,7,1.18643,1.01409,1.83953,-0.790087,1,340
341,7,-0.558811,-0.186868,-2.51581,0.363515,1,341
342,7,-1.91897,1.18031,-2.59776,-1.00153,1,342
343,7,-6.03593,-7.82119,2.23877,-3.08519,1,343
344,7,-1.37607,5.96788,-1.51575,3.49902,1,344
345,7,0.0367267,9.13107,-3.38467,-5.01911,1,345
346,7,0.355868,7.24544,2.4882,-4.50961,1,346
347,7,-3.54738,-2.42501,1.01715,-3.94204,1,347
348,7,2.19134,1.29894,-2.3304,-3.46988,1,348
349,7,-4.13167,1.77848,0.815316,-0.497952,1,349
350,7,2.85038,-1.85775,2.89448,-1.3865,1,350
351,7,-4.79981,0.0968931,3.59351,3.28037,1,351
352,7,-3.08482,-14.8081,4.16907,-4.15492,1,352
353,7,-0.364653,-0.116374,1.73135,-3.35775,1,353
354,7,1.07352,2.14522,-0.638354,-2.88227,1,354
355,7,-0.988828,0.558809,-0.499431,-0.93957,1,355
356,7,-1.0849,2.08326,0.0696441,0.180882,1,356
357,7,-2.72932,-1.83809,0.799165,0.991314,1,357
358,7,0.463048,-1.12685,4.20769,-0.513387,1,358
359,7,1.22291,0.00428812,-1.79845,-1.34645,1,359
360,7,-3.31971,-5.0059,8.15922,8.19427,1,360
361,7,-0.575797,-5.12955,5.84346,-0.398666,1,361
362,7,-1.63038,-5.8774,-3.3869,2.31844,1,362
363,7,-7.97184,5.23737,4.27239,-0.243299,1,363
364,7,1.5647,1.16742,1.26132,-0.196315,1,364
365,7,1.77272,-0.982595,-4.05738,1.40466,1,365
366,7,2.3555,-1.32995,0.376864,0.280603,1,366
367,7,-1.42373,-9.28139,2.74381,4.83376,1,367
368,7,-7.90224,-1.0512,-2.47666,2.02426,1,368
369,7,-1.83854,3.533,-4.94073,2.22287,1,369
370,7,5.95874,-3.18101,1.84873,-1.25307,1,370
371,7,3.74971,-1.47258,-0.671347,-0.605651,1,371
372,7,1.29006,-2.72628,-1.62547,0.117151,1,372
373,7,-0.375535,0.162365,-1.64354,-1.27354,1,373
374,7,1.79387,-4.28395,-0.712738,-1.39721,1,374
375,7,1.1853,-6.72437,-0.440824,-1.49709,1,375
376,7,-2.76096,-4.30741,-4.18363,1.05614,1,376
377,7,2.91765,-4.23203,-3.53191,-1.44031,1,377
378,7,5.1743,-0.396359,1.43016,-4.11331,1,378
379,7,0.269798,2.46138,0.607927,-2.57518,1,379
380,7,-3.93998,0.905199,0.970756,2.29794,1,380
381,7,-2.2003,-1.01352,1.60702,-0.93529,1,381
382,7,1.55953,-0.324776,0.960958,-0.688112,1,382
383,7,3.09133,0.223505,-2.65989,-7.21367,1,383
384,7,-9.7855,-6.22301,7.35352,1.53377,1,384
385,7,5.49344,-6.96639,2.99418,-0.893644,1,385
386,7,-0.601203,-1.00769,-4.19716,-0.0378111,1,386
387,7,-3.58869,3.9042,-0.127399,2.06415,1,387
388,7,1.45707,0.586719,2.21057,-1.22875,1,388
389,7,-1.61115,5.10096,-2.43006,-1.41092,1,389
390,7,0.30425,1.67176,-2.51021,-1.69572,1,390
391,7,-2.46952,4.86925,-0.524999,1.24233,1,391
392,7,-0.889958,4.46604,-2.45517,3.71355,1,392
393,7,-3.35246,2.25,-1.45525,0.454379,1,393
394,7,3.67152,3.13303,-0.354349,0.391538,1,394
395,7,-1.97955,0.89109,-3.4384,-0.532037,1,395
396,7,0.552961,-0.2151,-3.96513,5.10496,1,396
397,7,1.93211,0.723242,0.356407,-3.84209,1,397
398,7,-1.44955,1.90644,0.918447,-2.52404,1,398
399,7,-0.230379,-0.490599,4.02857,-9.62394,1,399
400,7,-8.32807,7.63154,8.63016,5.83829,1,400
401,7,-7.90757,9.88933,-1.79312,5.2514,1,401
402,7,1.43168,-2.1707,-1.34007,-7.41316,1,402
403,7,-3.05504,3.04286,0.632453,-4.7586,1,403
404,7,1.32326,5.49711,1.78951,0.334604,1,404
405,7,2.71218,1.42567,-1.10375,-1.04687,1,405
406,7,0.703836,-1.00024,0.574507,-4.95116,1,406
407,7,0.688909,5.84826,0.565539,-6.28996,1,407
408,7,-0.584812,1.31056,4.24046,-5.91422,1,408
409,7,-0.126861,-3.99207,7.11923,-2.55445,1,409
410,7,-9.71592,11.6078,-3.78883,-1.9125,1,410
411,7,5.9405,-4.89801,2.07962,-0.800117,1,411
412,7,5.21836,0.78804,-4.49504,-7.11005,1,412
413,7,-1.15363,-2.99841,0.375425,1.31381,1,413
414,7,0.869096,-1.22301,0.560839,0.721446,1,414
415,7,1.07453,-3.6656,6.156,0.358676,1,415
416,7,-6.88273,3.4721,-1.92337,1.58204,1,416
417,7,3.46633,0.130614,1.04838,-3.13081,1,417
418,7,0.346278,2.69007,-4.05759,-0.123289,1,418
419,7,2.06547,3.00435,-1.78473,0.38116,1,419
420,7,-0.19282,0.646491,-0.493582,1.48043,1,420
421,7,0.69771,-2.67438,-0.402945,1.07283,1,421
422,7,0.994463,-0.00252708,0.728586,-0.519785,1,422
423,7,-3.10255,-4.12522,2.90322,-3.1102,1,423
424,7,-7.36036,-0.988595,-3.6062,-1.42808,1,424
425,7,1.13639,-2.52443,-5.86719,1.00308,1,425
426,7,8.25698,-3.85799,-0.408332,-2.91246,1,426
427,7,1.525,0.96781,1.87722,-0.904174,1,427
428,7,-1.78936,2.44006,-0.224988,0.974682,1,428
429,7,-0.594202,-0.763536,0.0861061,1.34524,1,429
430,7,1.1102,-1.8422,0.364366,-0.679479,1,430
431,7,-0.151178,-0.822514,-0.497597,0.476574,1,431
432,7,-2.82481,0.746,-1.96395,-2.46177,1,432
433,7,0.810181,-3.51837,-1.32217,2.20467,1,433
434,7,4.11694,-2.3875,-0.24293,-0.0980655,1,434
435,7,0.291708,0.418575,0.00125448,1.43733,1,435
436,7,-0.698286,2.76436,0.590196,0.488536,1,436
437,7,-0.150914,0.730134,0.679178,0.413445,1,437
438,7,-0.15865,0.963872,-0.96073,0.368766,1,438
439,7,-1.63387,-1.14872,1.50651,3.07434,1,439
440,7,-1.01472,3.50801,-6.86837,5.3471,1,440
441,7,4.52997,-7.9853,3.9405,-4.42595,1,441
442,7,-0.184029,-0.606407,1.44277,1.21393,1,442
443,7,0.859423,-0.641251,-2.22609,0.264415,1,443
444,7,-1.57349,2.54336,-4.84702,6.07437,1,444
445,7,-3.09973,-2.54641,-1.25969,2.02581,1,445
446,7,3.39112,-1.21272,1.72737,-0.3477,1,446
447,7,0.0922285,-1.14018,-5.25813,-3.05486,1,447
448,7,-1.1625,-2.42913,0.190241,-1.2965,1,448
449,7,-3.21209,4.88332,-0.435538,-5.47766,1,449
450,7,-2.97653,5.83929,-1.57287,-1.30933,1,450
451,7,2.31618,-2.44066,-2.35605,-0.871033,1,451
452,7,1.43731,-4.22814,-0.308207,1.73365,1,452
453,7,2.64007,-1.98837,0.223206,-1.57813,1,453
454,7,-0.664522,0.75819,-1.2426,3.14957,1,454
455,7,6.53802,-3.45507,0.946794,-0.378981,1,455
456,7,1.4274,3.68276,-4.51579,4.95794,1,456
457,7,-8.26342,4.64009,1.00598,-2.1385,1,457
458,7,7.49138,-2.80429,0.887882,1.27921,1,458
459,7,1.74424,-0.602213,-2.09877,0.643893,1,459
460,7,1.32007,2.34934,-1.05774,2.88437,1,460
461,7,2.54385,5.05225,1.69341,-1.75412,1,461
462,7,-2.15861,1.09185,3.55571,1.32115,1,462
463,7,-8.02285,7.46569,4.6842,-1.50463,1,463
464,7,1.67014,1.07313,1.5578,-1.79174,1,464
